polity_id,polity_name,region_id,region_name
121,後蜀,8,東アジア
122,荊南,8,東アジア
123,北漢,8,東アジア
124,北宋,8,東アジア
125,南宋,8,東アジア
126,遼,8,東アジア
127,西夏,8,東アジア
128,金,8,東アジア
129,元帝国,8,東アジア
130,明帝国,8,東アジア
131,清帝国,8,東アジア
132,中華民国,8,東アジア
134,マムルーク国,12,西アジア（中東）
134,マムルーク国,17,北アフリカ
135,セルジューク系国家,11,中央アジア
135,セルジューク系国家,12,西アジア（中東）
136,フランス第一帝政,13,西ヨーロッパ
137,フランス第二帝政,13,西ヨーロッパ
138,ヤマト政権（日本）,8,東アジア
