name,aliases,note,birth_label,birth_calendar_era,birth_start_year,birth_end_year,birth_is_approximate,death_label,death_calendar_era,death_start_year,death_end_year,death_is_approximate,regions,religions,sects,periods
ミラのニコラオス,Saint Nicholas,Pantheon職業: Religious Figure / 出生国: Türkiye / 出生地: Patara (Lycia),,CE,270,,false,,CE,342,,false,,,,
リヒャルト・ワーグナー,Richard Wagner,Pantheon職業: Composer / 出生国: Germany / 出生地: Leipzig,,CE,1813,,false,,CE,1883,,false,,,,
カール・ベンツ,Carl Benz,Pantheon職業: Inventor / 出生国: Germany / 出生地: Mühlburg,,CE,1844,,false,,CE,1929,,false,,,,
リチャード3世,Richard III of England,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: Fotheringhay Castle,,CE,1452,,false,,CE,1485,,false,,,,
アーイシャ,Aisha,Pantheon職業: Companion / 出生国: Saudi Arabia / 出生地: Mecca,,CE,605,,false,,CE,678,,false,,,,
ウェルギリウス,Virgil,"Pantheon職業: Writer / 出生国: Italy / 出生地: Virgilio, Lombardy",,BCE,70,,false,,BCE,19,,false,,,,
パウロ6世,Paul VI,Pantheon職業: Religious Figure / 出生国: Italy / 出生地: Milan,,CE,1897,,false,,CE,1978,,false,,,,
クヌート1世 (イングランド王),Cnut the Great,Pantheon職業: Politician / 出生国: Denmark,,CE,995,,false,,CE,1035,,false,,,,
ヨハネ23世,John XXIII,Pantheon職業: Religious Figure / 出生国: Italy / 出生地: Sotto il Monte Giovanni XXIII,,CE,1881,,false,,CE,1963,,false,,,,
クセルクセス1世,Xerxes I,Pantheon職業: Politician / 出生国: Iran,,BCE,519,,false,,BCE,475,,false,,,,
ニコライ2世,Nicholas II of Russia,Pantheon職業: Politician / 出生国: Russia / 出生地: Alexander Palace,,CE,1868,,false,,CE,1918,,false,,,,
ジョン・ロック,John Locke,Pantheon職業: Philosopher / 出生国: United Kingdom / 出生地: Wrington,,CE,1632,,false,,CE,1704,,false,,,,
ペレ,Pelé,Pantheon職業: Soccer Player / 出生国: Brazil / 出生地: Três Corações,,CE,1940,,false,,CE,2022,,false,,,,
アンナ,Saint Anne,Pantheon職業: Religious Figure / 出生地: Bethlehem,,BCE,100,,false,,CE,100,,false,,,,
ヘンリー・キッシンジャー,Henry Kissinger,Pantheon職業: Politician / 出生国: Germany / 出生地: Fürth,,CE,1923,,false,,CE,2023,,false,,,,
エイブラハム・リンカーン,Abraham Lincoln,Pantheon職業: Politician / 出生国: United States / 出生地: Abraham Lincoln Birthplace National Historical Park,,CE,1809,,false,,CE,1865,,false,,,,
